shortGenotype,media,background,matingType,reference,comment
cat5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cbf5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cbk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cct7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc15     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc16     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc23     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc27     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc28     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc33     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc46     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc47     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdc54     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cdh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cin8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cla4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cop1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cox4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cox6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
coy1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cth1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ctk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cup9     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cyc3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cyt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
cyt2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbf2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbf20     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbp3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbp5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbp6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dbp8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dhh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dhr2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dnm1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
drs1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dun1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
dyn1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
eaf7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ecm16     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
egd2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ena1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ena2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ena5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
erb1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
erf2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
erg11     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
erg5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ero1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
esc2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
etr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
fal1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
fig4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
flx1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
fox2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
fun12     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
fur1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
gar1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
gcn2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
gin4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
gpi10     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
has1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
hca4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
hrb1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
hrp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
hse1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
hyp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
idh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
idh2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
idp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
idp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
idp3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ifh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ils1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
imh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
inp51     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
inp52     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
inp53     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
inp54     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ipl1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ism1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kar3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kel1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kex2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kin1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kin2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kip1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kip2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kip3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
kog1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
las17     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
leu1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
leu2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
leu5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
lsb1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
lsb3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
lst8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
lys12     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
lys4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mak11     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mcm2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mcm3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mcm6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mec1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mes1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mgm1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mir1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mnn4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mod5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mrpl4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mrs3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mrs4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
msg5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mtl1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
mtm1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nab3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nam2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nam8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ncl1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ncr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nft1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nob1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nop1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nop2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nop58     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
npl3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nrk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nsr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
nst1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
odc2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
oxa1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pab1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pac2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pep12     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pet8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pet9     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pex10     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pex13     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pex5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pfa3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pfa4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pfa5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pfs2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pfy1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pgi1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pho2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pho85     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pic2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pik1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pin3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pkc1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pkh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pkh2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pkh3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pma1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pma2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pmr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,Not long-lived when remade; original strain diploid
pps1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp16     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp22     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp43     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prp46     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
prt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pry2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ptr2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pub1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
pwp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
qcr6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
qcr7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rcl1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
red1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rfx1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rim2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rip1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rok1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpg1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl19a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl19b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl30     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl4a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl4b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl6a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl6b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl9a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpl9b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps10a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps10b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps11a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps11b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps15     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps22a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps22b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps26a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps26b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps6a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps6b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps8a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rps8b     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpt2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rpt6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rrp3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rrp46     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rrp8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rsm19     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
rud3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sac1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sal1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sam1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sam2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sch9     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
scp160     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sdp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sec4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sec7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sed1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
set2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sfc1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sft2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sif2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sis2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
siz1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ski6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
skm1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
slx1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
slx8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
smc4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
smy1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
spb4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
spc110     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sps19     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
spt4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
spt5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
srp40     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ssk2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ssk22     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sso1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sso2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ste11     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sth1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
stt4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
stv1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sub1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sub2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
sui3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
swc3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
swd1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
swd3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
swf1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
taf5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
taf7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tcp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tel1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tfp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tif1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tif2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tif4631     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tif4632     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tif5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tis11     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tlg2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
top2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tor1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tor2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tos3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tos8     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tpk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tpk2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tpk3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tpm1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
tup1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ugp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
urk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vas1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vid30     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vma2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vmr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vph1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vps1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vps34     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
vrp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
whi3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
whi4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
wsc3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
wsc4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ybl113c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ybr042c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ybr147w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ybt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ycf1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ycr072c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ydr018c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ydr020c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ydr090c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ydr352w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yel006w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yel077c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yfh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yfr016c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ygr130c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yhl012w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yhp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yhr219w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yil006w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yil055c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yil169c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yil177c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yir035c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yir036c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yjl200c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yjl225c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yjr100c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ykl105c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yme1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr010w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr018w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr166c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr173w-a     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr226c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ymr269w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ynl022c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ynl208w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yol092w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yor1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yor111w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yox1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypk1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypk2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypl009c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypl105c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypr011c     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypr204w     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypt31     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypt32     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypt6     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ypt7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ysc84     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ysp3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yta12     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yta7     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yuh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
yvh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
